Resignation,Business Travel,CF_age band,CF_current Employee,Current Status,Department,Education,Employee Number,Gender,Job Role,Marital Status,Over Time,Trainings Last Year,Age,Daily Rate,Distance From Home,Education Degree,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Stock Option Level,Total Working Years,Work Life Balance,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,975,Female,Sales Executive,Married,No,3,35,1219,18,Bachelor's Degree,3,3,3,4601,1,16,3,0,5,3,2,1,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,976,Male,Manager,Married,No,2,52,1053,1,Associates Degree,4,3,4,17099,2,15,3,1,26,2,8,7,8
Yes,Travel_Rarely,Over 55,0,Ex-Employees,R&D,Technical Degree,977,Male,Research Scientist,Single,No,4,58,289,2,Bachelor's Degree,4,3,3,2479,4,24,4,0,7,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Medical,981,Male,Manager,Divorced,No,3,53,1376,2,Associates Degree,3,3,3,14852,6,13,3,1,22,4,13,15,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Other,982,Male,Sales Executive,Divorced,No,2,30,231,8,Associates Degree,3,3,3,7264,5,11,3,1,10,4,4,7,7
No,Non-Travel,35 - 44,1,Current Employees,Sales,Technical Degree,983,Female,Sales Executive,Single,Yes,1,38,152,10,Bachelor's Degree,3,3,4,5666,1,13,3,0,6,3,3,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,984,Male,Sales Executive,Divorced,No,2,35,882,3,Master's Degree,4,3,4,7823,6,13,3,1,12,3,9,0,8
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,985,Male,Sales Executive,Single,No,3,39,903,2,Doctoral Degree,1,4,3,7880,0,18,3,0,9,3,7,0,7
Yes,Non-Travel,35 - 44,0,Ex-Employees,Sales,Life Sciences,986,Female,Sales Executive,Single,Yes,2,40,1479,24,Bachelor's Degree,2,4,2,13194,4,16,3,0,22,2,0,0,0
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Medical,987,Male,Manufacturing Director,Divorced,Yes,3,47,1379,16,Master's Degree,3,4,3,5067,1,19,3,0,20,4,10,2,7
No,Non-Travel,35 - 44,1,Current Employees,Sales,Technical Degree,990,Male,Sales Executive,Divorced,No,3,36,1229,8,Master's Degree,1,3,4,5079,4,13,3,2,12,3,7,0,7
Yes,Non-Travel,25 - 34,0,Ex-Employees,R&D,Medical,991,Male,Research Scientist,Single,Yes,0,31,335,9,Associates Degree,3,2,1,2321,0,22,4,0,4,3,2,1,2
No,Non-Travel,25 - 34,1,Current Employees,Sales,Life Sciences,992,Male,Manager,Single,No,2,33,722,17,Bachelor's Degree,4,3,3,17444,1,11,3,0,10,3,8,6,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Life Sciences,994,Female,Research Scientist,Single,Yes,5,29,906,10,Bachelor's Degree,4,2,1,2404,6,20,4,0,3,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,995,Female,Research Scientist,Single,No,4,33,461,13,High School,2,3,4,3452,3,18,3,0,5,3,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,996,Female,Laboratory Technician,Divorced,No,2,45,974,1,Master's Degree,4,3,4,2270,3,14,3,2,8,3,3,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,997,Male,Research Director,Divorced,No,1,50,1126,1,Associates Degree,4,3,4,17399,9,22,4,1,32,2,4,1,3
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Other,998,Female,Healthcare Representative,Married,Yes,2,33,827,1,Master's Degree,3,4,2,5488,1,13,3,1,6,3,5,1,2
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,999,Male,Research Director,Divorced,No,2,41,840,9,Bachelor's Degree,1,3,3,19419,2,17,3,1,21,4,16,0,11
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Technical Degree,1001,Female,Laboratory Technician,Married,No,2,27,1134,16,Master's Degree,3,3,2,2811,9,14,3,1,4,3,2,2,2
No,Non-Travel,45 - 54,1,Current Employees,R&D,Life Sciences,1002,Male,Laboratory Technician,Married,Yes,2,45,248,23,Associates Degree,4,3,1,3633,1,15,3,1,9,3,8,0,8
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Life Sciences,1003,Female,Sales Executive,Single,Yes,0,47,955,4,Associates Degree,4,3,4,4163,1,17,3,0,9,3,0,0,7
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Life Sciences,1004,Female,Research Scientist,Married,Yes,2,30,138,22,Bachelor's Degree,1,3,3,2132,4,11,3,0,7,3,2,0,1
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1005,Male,Manufacturing Director,Married,Yes,2,50,939,24,Bachelor's Degree,4,3,3,13973,3,18,3,1,22,3,11,1,5
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,1006,Male,Research Scientist,Married,No,0,38,1391,10,High School,3,3,3,2684,0,17,3,1,3,2,1,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1007,Male,Manufacturing Director,Divorced,No,3,46,566,7,Associates Degree,4,3,3,10845,6,13,3,1,13,3,7,0,7
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,1009,Female,Manufacturing Director,Divorced,No,6,24,1206,17,High School,4,2,3,4377,1,15,3,2,5,3,2,3,2
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Other,1010,Male,Laboratory Technician,Divorced,Yes,2,35,622,14,Master's Degree,3,2,2,3743,1,24,4,1,5,1,2,0,2
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1011,Female,Manufacturing Director,Married,No,1,31,853,1,High School,3,3,1,4148,1,12,3,1,4,3,3,0,3
No,Non-Travel,Under 25,1,Current Employees,R&D,Life Sciences,1012,Male,Research Scientist,Single,No,2,18,287,5,Associates Degree,2,3,4,1051,1,15,3,0,0,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,1013,Female,Manufacturing Director,Married,No,2,54,1441,17,Bachelor's Degree,3,3,3,10739,8,11,3,1,22,3,7,0,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1014,Female,Healthcare Representative,Divorced,Yes,3,35,583,25,Master's Degree,3,3,3,10388,1,11,3,1,16,2,10,10,1
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1015,Female,Research Director,Married,Yes,4,30,153,8,Associates Degree,2,4,1,11416,0,12,3,3,9,2,7,1,7
Yes,Travel_Rarely,Under 25,0,Ex-Employees,R&D,Medical,1016,Female,Research Scientist,Single,Yes,2,20,1097,11,Bachelor's Degree,4,2,1,2600,1,15,3,0,1,3,0,0,0
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Medical,1017,Female,Laboratory Technician,Single,No,3,30,109,5,Bachelor's Degree,2,3,2,2422,0,17,3,0,4,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1018,Male,Manufacturing Director,Married,No,2,26,1066,2,Associates Degree,4,4,4,5472,1,12,3,0,8,3,7,1,3
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,1019,Male,Laboratory Technician,Married,No,3,22,217,8,High School,2,1,1,2451,1,15,3,1,4,2,3,1,1
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1022,Male,Healthcare Representative,Single,No,0,48,277,6,Bachelor's Degree,1,2,3,4240,2,13,3,0,19,3,2,2,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1024,Male,Healthcare Representative,Single,No,3,48,1355,4,Master's Degree,3,2,3,10999,7,14,3,0,27,3,11,4,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1025,Female,Manufacturing Director,Single,No,6,41,549,7,Associates Degree,4,3,3,5003,6,14,3,0,8,3,2,2,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1026,Female,Manufacturing Director,Married,No,3,39,466,1,High School,4,2,4,12742,1,16,3,1,21,3,6,11,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1027,Female,Manufacturing Director,Married,No,2,27,1055,2,Master's Degree,1,3,4,4227,0,18,3,1,4,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,1028,Male,Laboratory Technician,Divorced,No,4,35,802,10,Bachelor's Degree,2,3,4,3917,1,20,4,1,3,2,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1029,Male,Manager,Married,No,3,42,265,5,Associates Degree,4,3,3,18303,6,13,3,0,21,4,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1030,Male,Laboratory Technician,Married,No,5,50,804,9,Bachelor's Degree,1,3,4,2380,4,18,3,0,8,3,0,0,0
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Life Sciences,1032,Female,Manufacturing Director,Single,Yes,4,59,715,2,Bachelor's Degree,3,2,4,13726,3,13,3,0,30,3,3,4,3
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Medical,1033,Female,Healthcare Representative,Married,No,2,37,1141,11,Associates Degree,1,1,2,4777,5,15,3,0,15,1,0,0,0
No,Travel_Frequently,Over 55,1,Current Employees,R&D,Medical,1034,Male,Healthcare Representative,Married,Yes,3,55,135,18,Master's Degree,3,3,2,6385,3,14,3,2,17,3,7,6,7
No,Non-Travel,35 - 44,1,Current Employees,R&D,Life Sciences,1035,Female,Research Director,Divorced,No,3,41,247,7,High School,2,1,3,19973,1,22,4,2,21,3,16,5,10
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1036,Male,Sales Executive,Single,Yes,1,38,1035,3,Master's Degree,2,3,4,6861,8,12,3,0,19,3,0,0,0
Yes,Non-Travel,25 - 34,0,Ex-Employees,Sales,Medical,1037,Male,Sales Executive,Single,No,6,26,265,29,Associates Degree,2,1,1,4969,8,18,3,0,7,3,2,2,2
Yes,Travel_Rarely,45 - 54,0,Ex-Employees,Sales,Marketing,1038,Female,Manager,Married,No,3,52,266,2,High School,1,1,4,19845,1,15,3,1,33,3,14,6,9
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1039,Female,Sales Executive,Married,Yes,2,44,1448,28,Bachelor's Degree,4,4,4,13320,3,18,3,1,23,3,11,11,11
No,Non-Travel,45 - 54,1,Current Employees,Sales,Life Sciences,1040,Female,Sales Executive,Married,No,3,50,145,1,Bachelor's Degree,4,3,3,6347,0,12,3,1,19,3,7,0,13
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Life Sciences,1042,Female,Laboratory Technician,Single,No,1,36,885,16,Master's Degree,3,4,1,2743,1,16,3,0,18,3,13,15,14
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,1043,Female,Manufacturing Director,Single,Yes,2,39,945,22,Bachelor's Degree,4,3,1,10880,1,13,3,0,21,3,6,2,8
No,Non-Travel,25 - 34,1,Current Employees,Sales,Life Sciences,1044,Female,Sales Representative,Single,No,2,33,1038,8,High School,2,2,4,2342,0,19,3,0,3,2,2,2,2
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Life Sciences,1045,Female,Manager,Married,No,4,45,1234,11,Associates Degree,4,3,4,17650,3,13,3,1,26,4,3,1,1
No,Non-Travel,25 - 34,1,Current Employees,R&D,Medical,1046,Female,Laboratory Technician,Single,No,2,32,1109,29,Master's Degree,4,3,3,4025,9,12,3,0,10,3,7,7,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,1047,Male,Sales Executive,Divorced,No,2,34,216,1,Master's Degree,2,4,4,9725,0,11,3,1,16,2,1,0,9
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Technical Degree,1048,Male,Manager,Married,Yes,1,59,1089,1,Associates Degree,2,3,4,11904,3,14,3,1,14,1,4,0,4
No,Travel_Rarely,45 - 54,1,Current Employees,HR,Medical,1049,Male,Human Resources,Single,No,3,45,788,24,Master's Degree,2,3,2,2177,1,16,3,0,6,3,3,0,4
No,Travel_Frequently,45 - 54,1,Current Employees,Sales,Marketing,1050,Female,Sales Executive,Married,No,2,53,124,2,Bachelor's Degree,3,2,2,7525,2,12,3,1,30,3,7,6,12
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Other,1052,Male,Laboratory Technician,Divorced,No,3,36,660,15,Bachelor's Degree,1,3,3,4834,7,14,3,1,9,2,0,0,0
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Life Sciences,1053,Male,Research Scientist,Married,Yes,2,26,342,2,Bachelor's Degree,1,3,1,2042,6,14,3,1,6,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1055,Female,Sales Representative,Married,Yes,2,34,1333,10,Master's Degree,3,3,3,2220,1,19,3,1,1,3,1,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,1056,Male,Sales Representative,Married,No,5,28,1144,10,High School,4,3,2,1052,1,22,4,0,1,3,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Other,1060,Male,Research Scientist,Married,No,2,38,1186,3,Master's Degree,3,3,3,2821,3,16,3,1,8,3,2,2,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1061,Male,Research Director,Married,Yes,2,50,1464,2,Master's Degree,2,3,3,19237,2,11,3,1,29,2,1,7,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,1062,Female,Healthcare Representative,Single,No,3,37,124,3,Bachelor's Degree,4,3,2,4107,3,15,3,0,8,2,3,0,1
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1066,Male,Sales Executive,Married,No,3,40,300,26,Bachelor's Degree,3,3,1,8396,1,14,3,1,8,2,7,7,5
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Medical,1068,Female,Research Scientist,Divorced,No,5,26,921,1,High School,1,2,3,2007,1,13,3,2,5,3,3,1,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,1069,Male,Research Director,Divorced,No,0,46,430,1,Master's Degree,4,3,4,19627,9,17,3,2,23,3,2,2,2
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Life Sciences,1070,Female,Sales Executive,Married,No,4,54,1082,2,Master's Degree,3,2,3,10686,6,11,3,1,13,3,4,7,0
No,Travel_Frequently,Over 55,1,Current Employees,R&D,Medical,1071,Female,Research Scientist,Married,No,4,56,1240,9,Bachelor's Degree,1,3,3,2942,2,19,3,1,18,3,4,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1073,Female,Manufacturing Director,Single,No,2,36,796,12,Doctoral Degree,4,2,4,8858,0,11,3,0,15,2,8,7,8
No,Non-Travel,Over 55,1,Current Employees,R&D,Medical,1074,Male,Manager,Single,No,3,55,444,2,High School,3,2,1,16756,7,15,3,0,31,4,7,6,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,1076,Male,Sales Executive,Divorced,No,5,43,415,25,Bachelor's Degree,3,2,4,10798,5,13,3,1,18,3,0,0,0
Yes,Travel_Frequently,Under 25,0,Ex-Employees,Sales,Marketing,1077,Female,Sales Representative,Single,Yes,3,20,769,9,Bachelor's Degree,4,3,4,2323,1,14,3,0,2,3,2,0,2
Yes,Travel_Rarely,Under 25,0,Ex-Employees,R&D,Life Sciences,1079,Female,Laboratory Technician,Single,No,6,21,1334,10,Bachelor's Degree,3,2,1,1416,1,13,3,0,1,2,0,1,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1080,Female,Research Scientist,Divorced,Yes,2,46,1003,8,Master's Degree,4,2,1,4615,8,23,4,3,19,3,13,1,7
Yes,Travel_Rarely,45 - 54,0,Ex-Employees,R&D,Life Sciences,1081,Male,Research Scientist,Married,Yes,2,51,1323,4,Master's Degree,1,3,3,2461,9,12,3,3,18,4,0,2,7
Yes,Non-Travel,25 - 34,0,Ex-Employees,R&D,Technical Degree,1082,Male,Healthcare Representative,Single,No,2,28,1366,24,Associates Degree,2,2,1,8722,1,12,3,0,10,2,7,1,9
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1083,Male,Laboratory Technician,Married,No,2,26,192,1,Associates Degree,1,2,1,3955,1,16,3,2,6,3,3,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,1084,Male,Manufacturing Director,Married,No,1,30,1176,20,Bachelor's Degree,3,3,1,9957,0,15,3,1,7,2,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,1085,Female,Research Scientist,Married,No,3,41,509,7,Associates Degree,2,4,3,3376,1,13,3,0,10,3,6,0,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1088,Female,Healthcare Representative,Married,No,4,38,330,17,High School,3,2,3,8823,0,18,3,1,20,2,9,1,9
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,1092,Male,Healthcare Representative,Married,No,6,40,1492,20,Master's Degree,1,3,4,10322,4,20,4,1,14,3,10,11,1
No,Non-Travel,25 - 34,1,Current Employees,R&D,Life Sciences,1094,Male,Laboratory Technician,Married,No,4,27,1277,8,Doctoral Degree,1,1,3,4621,1,19,3,3,3,3,2,1,2
No,Travel_Frequently,Over 55,1,Current Employees,R&D,Life Sciences,1096,Male,Manufacturing Director,Married,No,4,55,1091,2,High School,4,3,2,10976,3,18,3,1,23,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,1097,Female,Research Scientist,Single,No,4,28,857,10,Bachelor's Degree,3,3,3,3660,3,13,3,0,10,4,7,1,7
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,HR,Medical,1098,Male,Human Resources,Married,No,1,44,1376,1,Associates Degree,2,2,1,10482,9,14,3,1,24,3,6,3,6
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1099,Male,Healthcare Representative,Divorced,No,2,33,654,5,Bachelor's Degree,4,2,4,7119,4,15,3,1,9,3,2,1,2
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,Sales,Technical Degree,1100,Male,Sales Executive,Single,Yes,2,35,1204,4,Bachelor's Degree,4,3,1,9582,0,22,4,0,9,3,7,4,7
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Medical,1101,Female,Research Scientist,Single,No,4,33,827,29,Master's Degree,1,2,3,4508,1,22,4,0,14,3,7,3,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1102,Male,Laboratory Technician,Divorced,No,5,28,895,15,Associates Degree,1,3,3,2207,1,16,3,1,4,2,2,2,2
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1103,Male,Healthcare Representative,Single,No,1,34,618,3,High School,1,3,4,7756,0,17,3,0,7,2,2,0,4
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,1105,Female,Sales Executive,Divorced,Yes,5,37,309,10,Master's Degree,4,2,4,6694,2,14,3,3,8,3,0,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Technical Degree,1106,Male,Laboratory Technician,Married,Yes,3,25,1219,4,High School,4,3,4,3691,1,15,3,1,7,4,7,5,6
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,1107,Male,Laboratory Technician,Divorced,No,0,26,1330,21,Bachelor's Degree,1,3,3,2377,1,20,4,1,1,2,1,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,1108,Male,Research Scientist,Single,Yes,0,33,1017,25,Bachelor's Degree,1,2,2,2313,4,20,4,0,5,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1109,Male,Manager,Married,No,3,42,469,2,Associates Degree,4,3,1,17665,0,17,3,1,23,3,6,13,7
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Medical,1111,Male,Laboratory Technician,Divorced,No,2,28,1009,1,Bachelor's Degree,1,2,2,2596,1,15,3,2,1,3,0,0,0
Yes,Travel_Frequently,45 - 54,0,Ex-Employees,Sales,Other,1113,Male,Sales Executive,Single,Yes,4,50,959,1,Master's Degree,4,3,3,4728,3,14,3,0,5,3,0,0,0
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Life Sciences,1114,Female,Sales Executive,Married,No,3,33,970,7,Bachelor's Degree,4,3,2,4302,0,17,3,1,4,3,2,0,2
No,Non-Travel,25 - 34,1,Current Employees,R&D,Life Sciences,1115,Male,Research Scientist,Married,No,2,34,697,3,Master's Degree,3,2,4,2979,3,17,3,3,6,3,0,0,0
No,Non-Travel,45 - 54,1,Current Employees,R&D,Medical,1116,Male,Manager,Single,No,3,48,1262,1,Master's Degree,1,4,4,16885,2,22,4,0,27,2,4,2,1
No,Non-Travel,45 - 54,1,Current Employees,Sales,Life Sciences,1117,Female,Sales Executive,Married,No,2,45,1050,9,Master's Degree,2,2,3,5593,1,13,3,1,15,3,10,4,12
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,1118,Male,Healthcare Representative,Single,No,4,52,994,7,Master's Degree,2,3,2,10445,7,19,3,0,18,3,6,4,0
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1119,Male,Sales Executive,Divorced,Yes,2,38,770,10,Master's Degree,3,2,3,8740,0,14,3,2,9,3,7,2,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1120,Female,Research Scientist,Divorced,No,1,29,1107,28,Master's Degree,3,3,4,2514,4,22,4,1,11,3,5,1,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1121,Female,Manufacturing Director,Divorced,No,3,28,950,3,Bachelor's Degree,4,3,2,7655,0,17,3,3,10,2,7,1,7
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,1124,Male,Manager,Married,No,3,46,406,3,High School,1,3,3,17465,3,12,3,1,23,3,9,4,9
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1125,Male,Sales Executive,Single,No,2,38,130,2,Associates Degree,4,3,2,7351,7,16,3,0,10,3,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,1126,Female,Manufacturing Director,Married,No,1,43,1082,27,Bachelor's Degree,3,3,1,10820,8,11,3,1,18,3,7,0,1
Yes,Travel_Frequently,35 - 44,0,Ex-Employees,R&D,Life Sciences,1127,Male,Healthcare Representative,Divorced,No,4,39,203,2,Bachelor's Degree,1,3,4,12169,7,11,3,3,21,3,7,11,5
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1128,Male,Research Director,Single,No,2,40,1308,14,Bachelor's Degree,3,2,3,19626,1,14,3,0,21,4,7,4,9
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Technical Degree,1131,Female,Research Scientist,Single,Yes,6,21,984,1,High School,4,2,2,2070,1,11,3,0,2,4,2,2,2
No,Non-Travel,35 - 44,1,Current Employees,R&D,Life Sciences,1132,Male,Laboratory Technician,Single,No,2,39,439,9,Bachelor's Degree,3,3,2,6782,9,15,3,0,9,2,4,0,3
No,Non-Travel,35 - 44,1,Current Employees,R&D,Life Sciences,1133,Male,Manufacturing Director,Single,No,0,36,217,18,Master's Degree,1,3,4,7779,2,20,4,0,18,3,9,0,9
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Life Sciences,1135,Male,Sales Representative,Married,No,4,31,793,20,Bachelor's Degree,3,4,4,2791,0,12,3,1,3,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1136,Male,Research Scientist,Married,No,2,28,1451,2,High School,1,2,2,3201,0,17,3,0,6,1,3,0,4
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Marketing,1137,Male,Sales Executive,Divorced,No,3,35,1182,11,Associates Degree,4,3,4,4968,1,11,3,1,5,3,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Technical Degree,1138,Male,Sales Executive,Married,No,3,49,174,8,Master's Degree,4,2,2,13120,6,17,3,1,22,3,8,2,3
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1140,Male,Manufacturing Director,Single,No,3,34,1003,2,Associates Degree,4,3,3,4033,2,11,3,0,5,2,2,0,2
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1143,Female,Research Scientist,Divorced,No,2,29,490,10,Bachelor's Degree,4,3,2,3291,0,14,3,2,8,2,5,1,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1148,Male,Laboratory Technician,Single,No,3,42,188,29,Bachelor's Degree,2,1,4,4272,4,19,3,0,16,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,1150,Male,Manufacturing Director,Married,Yes,2,29,718,8,High School,2,2,4,5056,1,15,3,1,10,2,7,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Human Resources,1152,Male,Human Resources,Married,No,2,38,433,1,Bachelor's Degree,3,4,3,2844,1,13,3,1,7,4,6,5,0
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,1154,Male,Research Scientist,Divorced,Yes,2,28,773,6,Bachelor's Degree,3,2,3,2703,1,14,3,1,3,3,1,0,2
Yes,Non-Travel,Under 25,0,Ex-Employees,R&D,Medical,1156,Male,Laboratory Technician,Single,No,0,18,247,8,High School,3,3,3,1904,1,12,3,0,0,3,0,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Marketing,1157,Female,Sales Executive,Single,Yes,3,33,603,9,Master's Degree,1,3,1,8224,0,17,3,0,6,3,2,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,1158,Male,Laboratory Technician,Married,Yes,4,41,167,12,Master's Degree,2,3,4,4766,3,11,3,1,6,3,0,0,0
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Medical,1160,Male,Laboratory Technician,Married,No,5,31,874,15,Bachelor's Degree,3,3,3,2610,1,12,3,1,2,2,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,1161,Female,Healthcare Representative,Divorced,No,2,37,367,25,Associates Degree,3,2,4,5731,7,13,3,2,9,3,2,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,1162,Male,Research Scientist,Married,No,0,27,199,6,Bachelor's Degree,4,2,3,2539,1,13,3,1,4,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,1163,Female,Sales Executive,Married,No,3,34,1400,9,High School,2,3,3,5714,1,20,4,0,6,2,5,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Technical Degree,1164,Male,Human Resources,Single,No,2,35,528,8,Master's Degree,3,3,3,4323,1,17,3,0,6,1,4,1,4
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Life Sciences,1165,Female,Sales Executive,Married,No,3,29,408,23,High School,4,2,1,7336,1,13,3,1,11,1,8,3,10
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,1166,Female,Research Director,Single,No,3,40,593,9,Master's Degree,2,3,3,13499,9,17,3,0,20,2,7,2,13
Yes,Travel_Frequently,35 - 44,0,Ex-Employees,Sales,Life Sciences,1167,Male,Sales Executive,Single,Yes,2,42,481,12,Bachelor's Degree,3,3,1,13758,0,12,3,0,22,2,9,13,14
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,1171,Male,Sales Executive,Single,No,3,42,647,4,Master's Degree,2,3,1,5155,7,13,3,0,9,4,4,1,5
